destination,category,user_url,username,stars,time,text
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116435259909657388461/reviews?hl=en,Efan Putra,5,5 months ago,"One of the Best Government Hospital in Indonesia. My Advice Maintain Your Excellent Performance, and strive for Even Better Magnificent Results 🙏 😊 …"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106594819308404954084/reviews?hl=en,Shifa.,1,Edited 9 months ago,"Honest review here, this is my second visit within a week. Just surprised that the employee so rude here, not just the nurse but the security lady as well.

How can be, being security guard explained  the direction with ""belakang kantin xx"" so I have to ask again, where is that place? And still she answered with ""ada di depan gedung yy"" i'm truly done with this kind of person.

Second thing, the nurse is truly rude here, being ping-pong-ed without knowing the flows, I dont even have any time to ask what shall I do with all these papers, where shall I bring or escalate first!! luckily, 1 good nurse in the outside, willing to help to explain about the flow and procedure with all these papers, which is why I provide 2 stars (not 1). Kudos to her, I just remembered her last name ""something something ningrum"" deserved applause.

Welll dropped my rating from 2 to 1, bad administration. Already registered for chemo since a week ago but turns out it was missed.

I already sent an email for formal complaint, yet no one responding so far"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/112995902466525957635/reviews?hl=en,Fendy A. Fahreza,5,5 months ago,Rwlatively Good healthcare services despite  jam-packed visitors/patients and insufficient parking areas.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/110781305099945108022/reviews?hl=en,bib Gnpc,1,a year ago,"Was there for rujukan treatment on 22 Jan 25 for our child. We encountered Extremely rude and impatient front office service staff during registration. Simply lacking in patience and empathy. Especially since we had young children accompanying us and requiring medical treatment.

Seriously, very frustrating and bad experience from the start. After registration, we were bounced and tossed around departments. Surely you can do better especially since you're in the Healthcare industry.

Have to add very lacking in parking facilities."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116228527405054728771/reviews?hl=en,DITALIA EKAWAHYUNI 240301129,5,11 months ago,"During my three-week psychiatric nursing rotation in the TERATAI ward at Dr. Sardjito General
Hospital, I experienced a significant shift in my perspective toward individuals with mental health
disorders. Previously, I held negative stereotypes and viewed them as frightening individuals.
However, after interacting directly with them, I realized they were not as intimidating as I had
imagined. This experience opened my eyes to the fact that they are also human beings who require
attention, understanding, and support.
This rotation also played a crucial role in developing my empathy toward patients. I learned to
understand their feelings and needs, and to put myself in their shoes. As a result, I became more
attuned to patients' conditions and able to provide better, more humane nursing care. The empathy
cultivated during this rotation will be an essential asset in my future nursing career.

Terima kasih untuk semua perawat teratai, luvv bgtt🥰🫶🏻✨"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/104172866180735425485/reviews?hl=en,Martin Jenkins,5,11 months ago,Very positive experience here for treatment of a potentially serious health issue. The service was profesional and the treatment promptly provided. The administion was also efficient - you can register via the app. Highly recommended hospital.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106700657852799996835/reviews?hl=en,Mas Goen,4,5 years ago,"Getting better with their green spaces, kid’s playground and parking building"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/117903974579060236469/reviews?hl=en,ruslina triastuti,5,10 months ago,This hospital is good. It is a central hospital for Yogyakarta and Central Java so no wonder why it is always busy.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/108202384355995486728/reviews?hl=en,Lia,4,Edited 5 years ago,"24-hour clinic is not really 24 hours in reality. Once I went there at probably 5.30 am, I didn't get service. There was no staff at the registration booth. There was really ""no"" staff at all around the place. It was not until around 7 am, that somebody exits through the door, that I could ask for help. (There is still no staff at the registration booth!)
The service is good enough when you go there at general working hours. Yes, don't expect them to be 24 hour ready even if it is called 24-hour clinic!"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/103784477883742075548/reviews?hl=en,Asa Rahmana,4,Edited 8 years ago,"This place is overload. And they really need to make the administration protocol clear & easier. And also the service.. the nurse even refused to change my mother in law diaper when she stayed at 1st class! We wait for almost half hour just to hear her saying, ""I only help, you change it yourself"". I only give 4 star because it's a center of medical research & has the latest technology."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/111556910802307230725/reviews?hl=en,Yudi Mertonadi,5,7 years ago,"As the Public Hospital, RSUP Sardjito is one of the best hospitals in Indonesia. It has good facilities and good medical system. We can do register for checking-up at clinics by online and it doesn't need to wait for long queue. The nurses are friendly and caring to each patient."
