destination,category,user_url,username,stars,time,text
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116435259909657388461/reviews?hl=en-GB,Efan Putra,5,5 months ago,"One of the Best Government Hospital in Indonesia. My Advice Maintain Your Excellent Performance, and strive for Even Better Magnificent Results 🙏 😊 …"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116435259909657388461/reviews?hl=en-GB,Efan Putra,5,5 months ago,"One of the Best Government Hospital in Indonesia. My Advice Maintain Your Excellent Performance, and strive for Even Better Magnificent Results 🙏 😊 …"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106594819308404954084/reviews?hl=en-GB,Shifa.,1,Edited 9 months ago,"Honest review here, this is my second visit within a week. Just surprised that the employee so rude here, not just the nurse but the security lady as well.

How can be, being security guard explained  the direction with ""belakang kantin xx"" so I have to ask again, where is that place? And still she answered with ""ada di depan gedung yy"" i'm truly done with this kind of person.

Second thing, the nurse is truly rude here, being ping-pong-ed without knowing the flows, I dont even have any time to ask what shall I do with all these papers, where shall I bring or escalate first!! luckily, 1 good nurse in the outside, willing to help to explain about the flow and procedure with all these papers, which is why I provide 2 stars (not 1). Kudos to her, I just remembered her last name ""something something ningrum"" deserved applause.

Welll dropped my rating from 2 to 1, bad administration. Already registered for chemo since a week ago but turns out it was missed.

I already sent an email for formal complaint, yet no one responding so far"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106594819308404954084/reviews?hl=en-GB,Shifa.,1,Edited 9 months ago,"Honest review here, this is my second visit within a week. Just surprised that the employee so rude here, not just the nurse but the security lady as well.

How can be, being security guard explained  the direction with ""belakang kantin xx"" so I have to ask again, where is that place? And still she answered with ""ada di depan gedung yy"" i'm truly done with this kind of person.

Second thing, the nurse is truly rude here, being ping-pong-ed without knowing the flows, I dont even have any time to ask what shall I do with all these papers, where shall I bring or escalate first!! luckily, 1 good nurse in the outside, willing to help to explain about the flow and procedure with all these papers, which is why I provide 2 stars (not 1). Kudos to her, I just remembered her last name ""something something ningrum"" deserved applause.

Welll dropped my rating from 2 to 1, bad administration. Already registered for chemo since a week ago but turns out it was missed.

I already sent an email for formal complaint, yet no one responding so far"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/112995902466525957635/reviews?hl=en-GB,Fendy A. Fahreza,5,5 months ago,Rwlatively Good healthcare services despite  jam-packed visitors/patients and insufficient parking areas.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/112995902466525957635/reviews?hl=en-GB,Fendy A. Fahreza,5,5 months ago,Rwlatively Good healthcare services despite  jam-packed visitors/patients and insufficient parking areas.
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/117218309374584140929/reviews?hl=en-GB,Vivian Lucia,5,3 months ago,"I was hospitalized for about 3 days for my wisdom teeth surgery… I was admitted to Elizabeth building and the nurses were SUPER kind.. they were v helpful with what I needed…

The food tasted good, altho I’ve lost my teeth, but I can still taste good food 😅😆…

And you can clearly pay with BPJS and got 0 discrimination.. kudos to Panti Rapih. Jesus bless yall🍀🌞"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/117218309374584140929/reviews?hl=en-GB,Vivian Lucia,5,3 months ago,"I was hospitalized for about 3 days for my wisdom teeth surgery… I was admitted to Elizabeth building and the nurses were SUPER kind.. they were v helpful with what I needed…

The food tasted good, altho I’ve lost my teeth, but I can still taste good food 😅😆…

And you can clearly pay with BPJS and got 0 discrimination.. kudos to Panti Rapih. Jesus bless yall🍀🌞"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/103608701092256397035/reviews?hl=en-GB,Gracia M.A.,5,3 months ago,"Nggak boleh ambil foto di dalam gedung. Not that I complain about it, it's regulated here. But the place is generally quite luxurious hospital without being expensive. Love the experience and convenience being outpatient here. Nice hospitality, management, services 💕 my favorite hospital …"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/103608701092256397035/reviews?hl=en-GB,Gracia M.A.,5,3 months ago,"Nggak boleh ambil foto di dalam gedung. Not that I complain about it, it's regulated here. But the place is generally quite luxurious hospital without being expensive. Love the experience and convenience being outpatient here. Nice hospitality, management, services 💕 my favorite hospital …"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/115111756010218709239/reviews?hl=en-GB,D. F.,5,7 months ago,"I accompanied my friend who got sick and was treated here, and overall the experience was really good. The hospital is clean, comfortable, and well-maintained. The room was clean and had good air conditioning, which made it comfortable to stay in.

The registration and check-up process went smoothly without long waiting times. The staff, from security to nurses and doctors, were friendly and helpful, which made everything feel organized and easy. Parking was easy to find, and there are also food stalls and a minimarket inside the hospital, which is very convenient for visitors or families waiting.

Overall, it’s a pleasant and reliable hospital with good facilities and great service."
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/115111756010218709239/reviews?hl=en-GB,D. F.,5,7 months ago,"I accompanied my friend who got sick and was treated here, and overall the experience was really good. The hospital is clean, comfortable, and well-maintained. The room was clean and had good air conditioning, which made it comfortable to stay in.

The registration and check-up process went smoothly without long waiting times. The staff, from security to nurses and doctors, were friendly and helpful, which made everything feel organized and easy. Parking was easy to find, and there are also food stalls and a minimarket inside the hospital, which is very convenient for visitors or families waiting.

Overall, it’s a pleasant and reliable hospital with good facilities and great service."
JIH Hospital,Hospital,https://www.google.com/maps/contrib/111395536810264659023/reviews?hl=en,A'isyah Kartika Sari,5,a year ago,"This is the best hospital I have experienced in Indonesia. The service is outstanding, from the doctors and nurses to the support staff. We stayed in the hospital for five days for my son's treatment, and we were genuinely impressed by the facilities. They have several rooms that face a mini zoo, which we found interesting and entertaining for the pediatric patients. Furthermore, all visitors to the hospital can enjoy the mini zoo for free. The animals are well-maintained, and the place is clean!

The food options were excellent, dispelling the common belief that hospital food is bland and unappetizing. The nurses and doctors were very caring, regularly checking on my son's condition. The janitor cleaned our room twice a day. We were even pleasantly surprised when a staff member visited our room to pray for my son's healing. This level of service in a hospital truly exceeded our expectations."
